date,total_tests,proportion_positive,test_type
2021-08-06,71,0,Snabbtester (Antigen)
2021-08-06,27,0.0740740740740741,PCR
2021-08-07,50,0,Snabbtester (Antigen)
2021-08-07,20,0,PCR
2021-08-08,41,0,Snabbtester (Antigen)
2021-08-08,21,0,PCR
2021-08-09,86,0,Snabbtester (Antigen)
2021-08-09,95,0.0526315789473684,PCR
2021-08-10,56,0.0178571428571429,Snabbtester (Antigen)
2021-08-10,79,0,PCR
2021-08-11,67,0.0149253731343284,Snabbtester (Antigen)
2021-08-11,79,0.0253164556962025,PCR
2021-08-12,60,0.0166666666666667,Snabbtester (Antigen)
2021-08-12,76,0.0263157894736842,PCR
2021-08-13,89,0.0224719101123596,Snabbtester (Antigen)
2021-08-13,76,0.0131578947368421,PCR
2021-08-14,54,0,Snabbtester (Antigen)
2021-08-14,40,0.025,PCR
2021-08-15,51,0,Snabbtester (Antigen)
2021-08-15,36,0.0277777777777778,PCR
2021-08-16,83,0,Snabbtester (Antigen)
2021-08-16,104,0.0288461538461538,PCR
2021-08-17,65,0.0153846153846154,Snabbtester (Antigen)
2021-08-17,97,0.0412371134020619,PCR
2021-08-18,66,0,Snabbtester (Antigen)
2021-08-18,96,0.0208333333333333,PCR
2021-08-19,67,0,Snabbtester (Antigen)
2021-08-19,93,0.032258064516129,PCR
2021-08-20,83,0.0481927710843374,Snabbtester (Antigen)
2021-08-20,99,0.0101010101010101,PCR
2021-08-21,54,0,Snabbtester (Antigen)
2021-08-21,38,0.0263157894736842,PCR
2021-08-22,45,0.0222222222222222,Snabbtester (Antigen)
2021-08-22,40,0,PCR
2021-08-23,110,0.00909090909090909,Snabbtester (Antigen)
2021-08-23,170,0.0294117647058824,PCR
2021-08-24,94,0,Snabbtester (Antigen)
2021-08-24,129,0.0232558139534884,PCR
2021-08-25,68,0,Snabbtester (Antigen)
2021-08-25,140,0.0142857142857143,PCR
2021-08-26,95,0,Snabbtester (Antigen)
2021-08-26,127,0.0236220472440945,PCR
2021-08-27,82,0,Snabbtester (Antigen)
2021-08-27,131,0.0610687022900763,PCR
